,precision,recall,f1-score,support
0,0.6704545454545454,0.7814569536423841,0.7217125382262998,151.0
1,0.8333333333333334,0.7399103139013453,0.7838479809976246,223.0
accuracy,0.7566844919786097,0.7566844919786097,0.7566844919786097,0.7566844919786097
macro avg,0.7518939393939394,0.7606836337718648,0.7527802596119622,374.0
weighted avg,0.7675721114892238,0.7566844919786097,0.7587612113225709,374.0
